Current Time,Latitude,Longitude,Time,GPS_Altitude,GPS_Speed,Number of Satellites
2019-05-18 16:10,46.004486,-72.732582,963751,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963807,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963862,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963917,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963972,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964027,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963862,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963917,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,963972,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964027,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964083,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964138,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964193,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964248,41.700001,0.037040,9
2019-05-18 16:10,46.004486,-72.732582,964303,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964359,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964414,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964485,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964524,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964579,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964635,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964690,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964745,41.700001,0.092600,9
2019-05-18 16:10,46.004486,-72.732582,964800,41.700001,0.092600,9
2019-05-18 16:10,46.004486,-72.732582,964635,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964690,41.700001,0.055560,9
2019-05-18 16:10,46.004486,-72.732582,964745,41.700001,0.092600,9
2019-05-18 16:10,46.004486,-72.732582,964800,41.700001,0.092600,9
2019-05-18 16:10,46.004486,-72.732582,966070,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,966125,41.700001,0.166680,9
